sv_name,oa_name,sv_id,oa_id,sv_pubs,oa_pubs,sv_cited,oa_cited,similarity_score
amy harris,andrew b harris,57668675700,A5011644095,1,247,2,1922,64
xiaohao sun,xiangyu sun,57902600900,A5060002954,2,179,8,3481,64
zezhong wang,jiacheng wang,57202051406,A5100727957,5,124,11,2294,64
yejin park,youn‐il park,59586745100,A5072961887,1,202,0,8311,64
kilim park,youn‐il park,59155485000,A5072961887,1,202,0,8311,64
jianqiu zhang,hao zhang,57234148200,A5100397026,2,1370,7,63147,64
deanna em smith,jason r smith,57233205500,A5061800498,1,57,14,3116,64
john calvert,andrew j calvert,56719213100,A5030736348,2,148,0,2980,64
alex k smith,jason r smith,57214307868,A5061800498,4,57,10,3116,64
william a scott,jamie k scott,57651636000,A5045141972,3,85,3,6912,64
gaoyang liu,yan‐jun liu,57203062038,A5100349652,10,261,63,15182,64
ian y song,xiaowei song,17345491900,A5036261443,1,241,0,8026,64
rina wang,jiacheng wang,59537723600,A5100727957,1,124,0,2294,64
calvin craig,lisa craig,57198036925,A5068113418,3,80,52,6373,64
mengqin wang,jiacheng wang,58118977100,A5100727957,2,124,5,2294,64
michael cp wang,jiacheng wang,55806545700,A5100727957,7,124,214,2294,64
hae-yoon kim,jeong‐bon kim,56491905000,A5019704910,4,328,53,14207,64
hae-yoon kim,tae‐ho kim,56491905000,A5100452164,4,238,53,3155,64
yuepeng wang,jiacheng wang,57192109237,A5100727957,10,124,41,2294,64
xiangxiang wang,jiacheng wang,57216315221,A5100727957,3,124,188,2294,64
jonathan lee,monica lee,55147369200,A5057346446,2,232,2,5309,64
jeremy d wong,jennifer s wong,35390063600,A5018101953,9,158,429,1037,64
guojuan zhang,hao zhang,57191914913,A5100397026,1,1370,8,63147,64
jiangchuan liu,yan‐jun liu,59061428700,A5100349652,5,261,1,15182,64
nelson lee,daniel c lee,57974923900,A5100392989,1,96,1,8824,64
keenan elliott,john e elliott,58661178300,A5076714348,1,406,1,10570,64
liangliang wang,jiacheng wang,52264998100,A5100727957,42,124,607,2294,64
stephen j smith,jason r smith,55702263100,A5061800498,7,57,27,3116,64
william shen,kelly shen,57210853308,A5006850713,2,79,25,2459,64
jamie k scott,william a scott,57206879375,A5001064251,17,76,538,1963,64
gerhard gries,regine gries,7006196798,A5113549037,120,253,1431,5588,64
carmen feng,changyong feng,59680719500,A5089845667,1,238,0,7144,64
deborah v kelly,barry c kelly,7403137454,A5077116272,1,97,1,6190,64
brian stewart,heather stewart,57079535100,A5062879863,3,57,3,4775,64
wenqian sun,xiangyu sun,59225858600,A5060002954,1,179,0,3481,64
claire robson,arthur j robson,36708623300,A5032114320,5,140,13,4266,64
amritpal singh,bp singh,58730521700,A5103582429,1,99,3,1130,64
monica lee,daniel c lee,57412158000,A5100392989,1,96,7,8824,64
dongwoo kim,woo soo kim,57205207510,A5000223592,8,101,129,2381,64
adnan azam bhatti,asim bhatti,59550144300,A5040015457,1,177,0,1552,64
tom brown,matthew brown,57225808826,A5041724055,1,114,16,7157,64
jodie l martin,jack martin,56210958800,A5061285579,1,399,2,12558,64
richard a moore,margo m moore,56696653600,A5016934414,2,89,16,3746,64
amy yo sue chen,mo chen,57209310043,A5100387244,16,265,220,5159,64
woochul kim,woo soo kim,58658203400,A5000223592,3,101,1,2381,64
taeyoung kim,jeong‐bon kim,57198491843,A5019704910,8,328,85,14207,64
zhe george zhang,hao zhang,57216960787,A5100397026,73,1370,1039,63147,64
