,sv_name,oa_name,sv_id,oa_id,similarity_score
724,yerin lee,daniel c lee,57203855079,A5100392989,100
725,dongmeng liu,b liu,57202874971,A5114378471,100
726,dongmeng liu,helen liu,57202874971,A5101610756,100
727,dongmeng liu,yan‐jun liu,57202874971,A5100349652,100
728,dongmeng liu,jiayi liu,57202874971,A5100370772,100
729,lily lin,feng lin,49863888400,A5101414835,100
730,lily lin,qi lin,49863888400,A5102608112,100
731,ena lee,kelley lee,59645048800,A5019363540,100
732,ena lee,monica lee,59645048800,A5057346446,100
733,ena lee,ki‐young lee,59645048800,A5100719654,100
734,ena lee,daniel c lee,59645048800,A5100392989,100
735,martin lee,kelley lee,55716885000,A5019363540,100
736,martin lee,monica lee,55716885000,A5057346446,100
737,martin lee,ki‐young lee,55716885000,A5100719654,100
738,martin lee,daniel c lee,55716885000,A5100392989,100
739,luyao lin,feng lin,57194191419,A5101414835,100
740,luyao lin,qi lin,57194191419,A5102608112,100
741,xingtu liu,b liu,59424708200,A5114378471,100
